"AreaCode","total_population","ethnic_minority","pct_ethnic_minority"
"E06000001",92338,4577,4.95678918755009
"E06000002",143922,29501,20.4979085893748
"E06000003",136530,4741,3.47249688713103
"E06000004",196593,19067,9.69871765525731
"E06000005",107796,10476,9.71835689635979
"E06000006",128478,8177,6.36451376889428
"E06000007",210973,25033,11.8654993766975
"E06000008",154741,66744,43.132718542597
"E06000009",141039,13594,9.63846879231985
"E06000010",267013,43051,16.1231850134638
"E06000011",342215,18377,5.37001592566077
"E06000012",156967,11605,7.39327374543694
"E06000013",169684,19130,11.2738973621555
"E06000014",202821,25858,12.7491729160195
"E06000015",261364,88287,33.7793269157191
"E06000016",368571,246176,66.7920156496306
"E06000017",41050,3678,8.95980511571255
"E06000018",323635,138055,42.6576235574026
"E06000019",187032,16613,8.88243722999273
"E06000020",185543,31607,17.034865233396
"E06000021",258369,55463,21.4665846134792
"E06000022",193409,27931,14.441416893733
"E06000023",472467,134015,28.3649440066714
"E06000024",216729,20814,9.6036986282408
"E06000025",290424,41264,14.2081921604275
"E06000026",264695,27893,10.5377887757608
"E06000027",139324,10949,7.85866038873417
"E06000030",233411,60180,25.7828465667856
"E06000031",215670,87317,40.4863912458849
"E06000032",225261,153729,68.2448359902513
"E06000033",180685,33243,18.3983175139054
"E06000034",175993,59563,33.8439597029427
"E06000035",279773,60820,21.7390527320363
"E06000036",124605,27655,22.1941334617391
"E06000037",161447,23194,14.3663245523299
"E06000038",174223,81056,46.5242820982304
"E06000039",158500,120399,75.9615141955836
"E06000040",153497,47506,30.9491390711219
"E06000041",177502,48415,27.275749005645
"E06000042",287060,108492,37.7941893680764
"E06000043",277103,72272,26.0812766372071
"E06000044",208001,46337,22.2772967437657
"E06000045",248920,79439,31.9134661738711
"E06000046",140459,8762,6.23811930883745
"E06000047",522067,27429,5.25392334700335
"E06000049",398772,41435,10.3906492933305
"E06000050",357149,31529,8.82796815894767
"E06000051",323607,21689,6.70226540216992
"E06000052",570305,36423,6.38658261807278
"E06000053",2055,129,6.27737226277372
"E06000054",510333,50739,9.94233177160795
"E06000055",185224,66445,35.8727810650888
"E06000056",294251,48482,16.4764095958892
"E06000057",320566,12551,3.91526237966597
"E06000058",400195,70586,17.6379015230075
"E06000059",379580,23310,6.14099794509721
"E06000060",553078,151589,27.4082498309461
"E06000061",359523,70249,19.5395009498697
"E06000062",425723,106214,24.9490866126566
"E07000008",145674,68479,47.0083885937092
"E07000009",87763,11866,13.5205040848649
"E07000010",102461,14433,14.0863352885488
"E07000011",180832,26743,14.7888648026898
"E07000012",162117,33132,20.4370917300468
"E07000026",96153,3172,3.29890903039947
"E07000027",67406,2921,4.33344212681364
"E07000028",110025,8021,7.29016132697114
"E07000029",67076,2225,3.31713280457988
"E07000030",54737,2846,5.19940807863054
"E07000031",104450,6490,6.21349928195309
"E07000032",126204,6270,4.96814680992679
"E07000033",80270,5418,6.74971969602591
"E07000034",103568,7176,6.92878109068438
"E07000035",71535,3209,4.48591598518208
"E07000036",112908,8508,7.53533850568605
"E07000037",90935,4752,5.22571067245835
"E07000038",102003,4346,4.26065900022548
"E07000039",107206,10572,9.86138835512938
"E07000040",150823,8812,5.84261021197032
"E07000041",130707,22612,17.2997620632407
"E07000042",82853,5154,6.22065586037923
"E07000043",98612,5668,5.74777917494828
"E07000044",88628,5147,5.80741977704563
"E07000045",134802,6865,5.09265441165561
"E07000046",68114,2662,3.90815397715594
"E07000047",57094,2898,5.07583984306582
"E07000061",101680,18215,17.9140440597954
"E07000062",90995,13577,14.9206000329688
"E07000063",99909,11079,11.0890910728763
"E07000064",93114,7752,8.32527869063728
"E07000065",160152,13184,8.23217942954193
"E07000066",187567,33522,17.8720137337591
"E07000067",155265,14982,9.64930924548353
"E07000068",77048,13352,17.3294569618939
"E07000069",89582,6585,7.35080708177982
"E07000070",181523,30765,16.948265509054
"E07000071",192716,37228,19.3175449884805
"E07000072",134980,32986,24.4376944732553
"E07000073",93330,25337,27.1477552769742
"E07000074",66211,3943,5.95520381809669
"E07000075",85662,5323,6.2139571805468
"E07000076",148293,9689,6.53368668784096
"E07000077",91344,10099,11.0560080574531
"E07000078",118836,19904,16.7491332592817
"E07000079",90830,7285,8.02047781569966
"E07000080",87004,4603,5.29056135350099
"E07000081",132414,29097,21.9742625402148
"E07000082",121104,9208,7.60338221693751
"E07000083",94882,9162,9.65620454880799
"E07000084",185154,33582,18.1373343271007
"E07000085",125742,11928,9.48609056639786
"E07000086",136444,16202,11.8744686464777
"E07000087",114512,8300,7.24814866564203
"E07000088",81949,6186,7.54859729831969
"E07000089",99404,12990,13.0678845921693
"E07000090",124210,8478,6.8255373963449
"E07000091",175782,11935,6.78965991967323
"E07000092",99759,28842,28.911677141912
"E07000093",130491,15618,11.9686415155068
"E07000094",127444,15140,11.8797275666175
"E07000095",99007,31116,31.4280808427687
"E07000096",155081,32974,21.262437049026
"E07000098",107827,39795,36.9063407124375
"E07000099",133210,24912,18.7012987012987
"E07000102",93772,30066,32.062875911786
"E07000103",102245,55425,54.2080297325053
"E07000105",132747,23074,17.3819370682577
"E07000106",157429,27542,17.4948707036188
"E07000107",116754,38197,32.7157956044333
"E07000108",116411,11300,9.70698645317023
"E07000109",106902,33872,31.6850947596864
"E07000110",175781,31667,18.0150300658205
"E07000111",120515,17399,14.4372069866822
"E07000112",109759,13169,11.9981049390027
"E07000113",151677,17292,11.4005419410985
"E07000114",140587,17791,12.654797385249
"E07000115",132201,15414,11.659518460526
"E07000116",115314,18265,15.8393603552041
"E07000117",94651,20899,22.0800625455621
"E07000118",117733,8284,7.03626001206119
"E07000119",81375,5582,6.85960061443932
"E07000120",82237,16766,20.3874168561596
"E07000121",142939,17387,12.163930068071
"E07000122",95758,32438,33.8749765032687
"E07000123",147834,50119,33.9022146461572
"E07000124",61565,3649,5.92706895151466
"E07000125",70868,6795,9.58824857481515
"E07000126",111035,7946,7.15630206691584
"E07000127",117429,8431,7.17965749516729
"E07000128",111946,4775,4.26544941310989
"E07000129",102924,18178,17.6615755314601
"E07000130",183970,40625,22.0824047399032
"E07000131",97623,12149,12.4448132100017
"E07000132",113641,10416,9.1657060391936
"E07000133",51752,3688,7.1262946359561
"E07000134",104707,8277,7.90491562168719
"E07000135",57747,23235,40.2358564081251
"E07000136",70505,17965,25.4804623785547
"E07000137",142295,6259,4.39860852454408
"E07000138",103814,17923,17.2645307954611
"E07000139",118072,6768,5.73209567043838
"E07000140",95122,14878,15.640966337966
"E07000141",143405,13664,9.52825912625083
"E07000142",95153,5189,5.45332254369279
"E07000143",141477,15961,11.2816924305718
"E07000144",131723,8458,6.42105023420359
"E07000145",99750,11087,11.1147869674185
"E07000146",154326,17360,11.2489146352526
"E07000147",102978,4575,4.44269649828119
"E07000148",143924,32301,22.443094966788
"E07000149",141948,11656,8.21145771691042
"E07000163",56927,3237,5.68622973281571
"E07000164",90692,4014,4.42596921448419
"E07000165",162668,15189,9.3374234637421
"E07000166",49781,3754,7.54102971013037
"E07000167",54707,2744,5.01581150492624
"E07000168",108736,6888,6.33460859329017
"E07000169",91988,5608,6.09644736269948
"E07000170",126299,10327,8.17662847686838
"E07000171",117803,9465,8.03460013751772
"E07000172",110940,17222,15.5237065080224
"E07000173",117264,16897,14.4093668986219
"E07000174",110482,14007,12.6780833076881
"E07000175",122959,11020,8.96233703917566
"E07000176",119077,16598,13.9388798844445
"E07000177",161015,35593,22.1053939073999
"E07000178",162040,75368,46.5119723525056
"E07000179",149088,21198,14.2184481648422
"E07000180",138913,23396,16.8421961947406
"E07000181",114236,12588,11.0192933926258
"E07000187",116089,9481,8.16700979420962
"E07000188",125341,11001,8.77685673482739
"E07000189",172670,14345,8.30775467655065
"E07000192",100523,5504,5.47536384707977
"E07000193",124021,27002,21.772119237871
"E07000194",106436,8484,7.97098725994964
"E07000195",123299,12352,10.0179239085475
"E07000196",110475,8643,7.8234894772573
"E07000197",136870,13667,9.98538759406736
"E07000198",95844,3277,3.41909770042987
"E07000199",78642,7186,9.13761094580504
"E07000200",92342,5924,6.41528232007104
"E07000202",139643,35435,25.3754216108219
"E07000203",102701,6120,5.95904616313376
"E07000207",138755,35888,25.8642931786242
"E07000208",80937,24801,30.6423514585418
"E07000209",143647,32571,22.6743336094732
"E07000210",87387,12404,14.1943309645599
"E07000211",150846,34897,23.1341898359917
"E07000212",88079,24114,27.3776950237855
"E07000213",102960,31699,30.7876845376845
"E07000214",90456,19983,22.0914035553197
"E07000215",87877,14534,16.5390261388077
"E07000216",128226,16905,13.1837536849001
"E07000217",103943,34032,32.7410215214108
"E07000218",65036,4438,6.82391290977305
"E07000219",134198,24391,18.1753826435565
"E07000220",114363,28679,25.0771665661097
"E07000221",134724,13394,9.94180695347525
"E07000222",148454,35804,24.1179085777413
"E07000223",64543,7153,11.0825341245371
"E07000224",164887,18709,11.3465585522206
"E07000225",124071,12249,9.87257296225548
"E07000226",118492,45314,38.2422442021402
"E07000227",146776,17428,11.8738758380117
"E07000228",152566,21595,14.1545298428221
"E07000229",111338,16658,14.9616483141425
"E07000234",99183,9507,9.58531199903209
"E07000235",79487,5290,6.65517631814007
"E07000236",87034,15292,17.5701450008043
"E07000237",103869,18001,17.3304835899065
"E07000238",132495,12447,9.39431676667044
"E07000239",101609,7648,7.52689230284719
"E07000240",148169,39207,26.4610006141636
"E07000241",119835,39284,32.7817415613135
"E07000242",150159,22914,15.2598245859389
"E07000243",89498,22104,24.6977586091309
"E07000244",246060,16997,6.90766479720393
"E07000245",179948,32013,17.7901393735968
"E07000246",157447,14887,9.45524525713415
"E08000001",295960,92474,31.2454385727801
"E08000002",193851,42323,21.8327478320978
"E08000003",551938,283366,51.3401867601071
"E08000004",242087,84173,34.7697315427925
"E08000005",223771,67102,29.9869062568429
"E08000006",269922,70308,26.0475248405095
"E08000007",294770,48939,16.6024357974014
"E08000008",231070,40765,17.641840135024
"E08000009",235053,65503,27.8673320485167
"E08000010",329330,26848,8.15230923389913
"E08000011",154518,11820,7.64959422203238
"E08000012",486088,110303,22.691981698787
"E08000013",183248,11702,6.3858814284467
"E08000014",279233,22906,8.20318515361723
"E08000015",320199,24232,7.56779377824415
"E08000016",244572,18084,7.39414160247289
"E08000017",308104,41225,13.3802222626126
"E08000018",265806,31193,11.7352505210567
"E08000019",556523,141825,25.4841219500362
"E08000021",300127,76560,25.5092011048656
"E08000022",208968,15665,7.49636307951457
"E08000023",147777,10348,7.00244287000007
"E08000024",274173,19518,7.11886290772614
"E08000025",1144922,653711,57.096553302321
"E08000026",345321,154432,44.7212883085593
"E08000027",323488,56924,17.5969433178356
"E08000028",341832,163903,47.948407404807
"E08000029",216240,47842,22.1244913059563
"E08000030",284126,92597,32.5901184685668
"E08000031",263726,119423,45.2829830960922
"E08000032",546412,236500,43.2823583669466
"E08000033",206631,35648,17.2520096210152
"E08000034",433213,127634,29.4621814211485
"E08000035",811953,216216,26.6291275480231
"E08000036",353370,41736,11.8108498174718
"E08000037",196149,19018,9.6956905209815
"E09000001",8584,4935,57.4906803355079
"E09000002",218871,151321,69.1370716083903
"E09000003",389344,248567,63.8425145886414
"E09000004",246475,87633,35.5545187138655
"E09000005",339821,288210,84.8122982393672
"E09000006",329991,110498,33.4851556557603
"E09000007",210136,135788,64.6191038184795
"E09000008",390724,244456,62.5648795569251
"E09000009",367116,277851,75.6847971758245
"E09000010",329985,226845,68.7440338197191
"E09000011",289065,169400,58.6027364087662
"E09000012",259147,171220,66.0706085735123
"E09000013",183156,113051,61.7238856493918
"E09000014",264238,179940,68.097699800937
"E09000015",261205,207638,79.4923527497559
"E09000016",262052,87820,33.5124326469556
"E09000017",305907,192530,62.9374286956493
"E09000018",288181,206248,71.5689098170941
"E09000019",216590,130498,60.2511657971282
"E09000020",143373,96490,67.2999797730396
"E09000021",168065,77777,46.2779281825484
"E09000022",317650,198255,62.4130332126554
"E09000023",300553,188827,62.826523109069
"E09000024",215187,126514,58.7925850539298
"E09000025",351030,299211,85.2380138449705
"E09000026",310261,238417,76.8440119770129
"E09000027",195277,72184,36.9649267450852
"E09000028",307640,198387,64.4867377454167
"E09000029",209636,89622,42.7512450151691
"E09000030",310306,239129,77.0623191301489
"E09000031",278428,183662,65.9639116755499
"E09000032",327506,170458,52.0472907366583
"E09000033",204236,147074,72.0117902818308
"W06000001",68879,2540,3.68762612697629
"W06000002",117392,7844,6.68188632956249
"W06000003",114743,6817,5.94110316097714
"W06000004",95820,5350,5.58338551450637
"W06000005",154960,10604,6.84305627258647
"W06000006",135122,12575,9.30640458252542
"W06000008",71473,5799,8.11355336980398
"W06000009",123359,6543,5.30403132321112
"W06000010",187898,11225,5.9739858859594
