"areacode","areaname","sex","avg_mortality","avg_imd","avg_ethnicity"
"E07000223","Adur","Female",80.65,17.71,11.08
"E07000223","Adur","Male",167.60,17.71,11.08
"E07000032","Amber Valley","Female",98.59,18.07,4.97
"E07000032","Amber Valley","Male",188.31,18.07,4.97
"E07000224","Arun","Female",92.73,18.65,11.35
"E07000224","Arun","Male",189.48,18.65,11.35
"E07000170","Ashfield","Female",113.47,26.50,8.18
"E07000170","Ashfield","Male",223.68,26.50,8.18
"E07000105","Ashford","Female",77.43,18.57,17.38
"E07000105","Ashford","Male",167.38,18.57,17.38
"E07000200","Babergh","Female",68.11,14.44,6.42
"E07000200","Babergh","Male",130.16,14.44,6.42
"E09000002","Barking and Dagenham","Female",113.33,32.88,69.14
"E09000002","Barking and Dagenham","Male",252.39,32.88,69.14
"E09000003","Barnet","Female",65.10,15.95,63.84
"E09000003","Barnet","Male",139.37,15.95,63.84
"E08000016","Barnsley","Female",127.29,30.06,7.39
"E08000016","Barnsley","Male",221.52,30.06,7.39
"E07000066","Basildon","Female",100.58,22.81,17.87
"E07000066","Basildon","Male",185.38,22.81,17.87
"E07000084","Basingstoke and Deane","Female",81.53,12.67,18.14
"E07000084","Basingstoke and Deane","Male",158.89,12.67,18.14
"E07000171","Bassetlaw","Female",118.85,23.02,8.03
"E07000171","Bassetlaw","Male",200.87,23.02,8.03
"E06000022","Bath and North East Somerset","Female",69.72,12.05,14.44
"E06000022","Bath and North East Somerset","Male",157.07,12.05,14.44
"E06000055","Bedford","Female",91.18,19.10,35.87
"E06000055","Bedford","Male",179.84,19.10,35.87
"E09000004","Bexley","Female",90.12,15.88,35.55
"E09000004","Bexley","Male",177.64,15.88,35.55
"E08000025","Birmingham","Female",118.13,37.61,57.10
"E08000025","Birmingham","Male",248.46,37.61,57.10
"E07000129","Blaby","Female",74.93,10.92,17.66
"E07000129","Blaby","Male",160.51,10.92,17.66
"E06000008","Blackburn with Darwen","Female",152.74,35.81,43.13
"E06000008","Blackburn with Darwen","Male",273.42,35.81,43.13
"E06000009","Blackpool","Female",179.61,45.91,9.64
"E06000009","Blackpool","Male",347.17,45.91,9.64
"E07000033","Bolsover","Female",120.30,25.01,6.75
"E07000033","Bolsover","Male",220.81,25.01,6.75
"E08000001","Bolton","Female",126.85,30.15,31.25
"E08000001","Bolton","Male",238.80,30.15,31.25
"E07000136","Boston","Female",113.07,22.85,25.48
"E07000136","Boston","Male",217.25,22.85,25.48
"E06000058","Bournemouth, Christchurch and Poole","Female",92.35,17.87,17.64
"E06000058","Bournemouth, Christchurch and Poole","Male",190.11,17.87,17.64
"E06000036","Bracknell Forest","Female",79.77,10.28,22.19
"E06000036","Bracknell Forest","Male",152.64,10.28,22.19
"E08000032","Bradford","Female",125.95,33.89,43.28
"E08000032","Bradford","Male",240.88,33.89,43.28
"E07000067","Braintree","Female",84.06,14.79,9.65
"E07000067","Braintree","Male",159.17,14.79,9.65
"E07000143","Breckland","Female",84.76,19.62,11.28
"E07000143","Breckland","Male",167.68,19.62,11.28
"E09000005","Brent","Female",79.96,25.20,84.81
"E09000005","Brent","Male",187.72,25.20,84.81
"E07000068","Brentwood","Female",80.22,10.04,17.33
"E07000068","Brentwood","Male",139.86,10.04,17.33
"E06000043","Brighton and Hove","Female",108.92,20.98,26.08
"E06000043","Brighton and Hove","Male",227.80,20.98,26.08
"E06000023","Bristol","Female",111.59,26.24,28.36
"E06000023","Bristol","Male",227.19,26.24,28.36
"E07000144","Broadland","Female",62.60,11.77,6.42
"E07000144","Broadland","Male",139.98,11.77,6.42
"E09000006","Bromley","Female",75.97,13.97,33.49
"E09000006","Bromley","Male",152.65,13.97,33.49
"E07000234","Bromsgrove","Female",73.50,11.62,9.59
"E07000234","Bromsgrove","Male",157.21,11.62,9.59
"E07000095","Broxbourne","Female",82.85,17.60,31.43
"E07000095","Broxbourne","Male",165.19,17.60,31.43
