"areacode","areaname","avg_mortality","avg_imd","avg_ethnicity"
"E07000223","Adur",122.15,17.71,11.08
"E07000032","Amber Valley",143.03,18.07,4.97
"E07000224","Arun",138.81,18.65,11.35
"E07000170","Ashfield",167.59,26.50,8.18
"E07000105","Ashford",120.80,18.57,17.38
"E07000200","Babergh",98.27,14.44,6.42
"E09000002","Barking and Dagenham",179.24,32.88,69.14
"E09000003","Barnet",100.25,15.95,63.84
"E08000016","Barnsley",173.85,30.06,7.39
"E07000066","Basildon",141.22,22.81,17.87
"E07000084","Basingstoke and Deane",119.38,12.67,18.14
"E07000171","Bassetlaw",159.53,23.02,8.03
"E06000022","Bath and North East Somerset",112.03,12.05,14.44
"E06000055","Bedford",134.64,19.10,35.87
"E09000004","Bexley",131.57,15.88,35.55
"E08000025","Birmingham",181.54,37.61,57.10
"E07000129","Blaby",116.85,10.92,17.66
"E06000008","Blackburn with Darwen",212.89,35.81,43.13
"E06000009","Blackpool",263.06,45.91,9.64
"E07000033","Bolsover",170.26,25.01,6.75
"E08000001","Bolton",181.83,30.15,31.25
"E07000136","Boston",164.34,22.85,25.48
"E06000058","Bournemouth, Christchurch and Poole",140.21,17.87,17.64
"E06000036","Bracknell Forest",115.21,10.28,22.19
"E08000032","Bradford",182.05,33.89,43.28
"E07000067","Braintree",120.77,14.79,9.65
"E07000143","Breckland",125.74,19.62,11.28
"E09000005","Brent",132.03,25.20,84.81
"E07000068","Brentwood",108.87,10.04,17.33
"E06000043","Brighton and Hove",168.27,20.98,26.08
"E06000023","Bristol",169.10,26.24,28.36
"E07000144","Broadland",100.27,11.77,6.42
"E09000006","Bromley",112.40,13.97,33.49
"E07000234","Bromsgrove",114.64,11.62,9.59
"E07000095","Broxbourne",122.12,17.60,31.43
"E07000172","Broxtowe",127.86,14.45,15.52
"E07000117","Burnley",225.11,37.30,22.08
"E08000002","Bury",172.78,23.25,21.83
"E08000033","Calderdale",172.91,26.73,17.25
"E07000008","Cambridge",121.88,15.43,47.01
"E09000007","Camden",147.51,19.98,64.62
"E07000192","Cannock Chase",161.47,20.89,5.48
"E07000106","Canterbury",138.19,17.57,17.49
"E07000069","Castle Point",132.46,16.84,7.35
"E06000056","Central Bedfordshire",114.93,11.97,16.48
"E07000130","Charnwood",122.01,13.34,22.08
"E07000070","Chelmsford",108.21,12.06,16.95
"E07000078","Cheltenham",138.61,14.29,16.75
"E07000177","Cherwell",122.74,14.47,22.11
"E06000049","Cheshire East",129.60,14.19,10.39
"E06000050","Cheshire West and Chester",145.58,18.31,8.83
"E07000034","Chesterfield",175.39,24.78,6.93
"E07000225","Chichester",112.41,14.14,9.87
"E07000118","Chorley",154.95,16.86,7.04
"E07000071","Colchester",130.09,17.09,19.32
"E06000052","Cornwall",136.70,23.32,6.39
"E07000079","Cotswold",101.07,10.97,8.02
"E06000047","County Durham",186.97,27.43,5.25
"E08000026","Coventry",179.45,25.35,44.72
"E07000226","Crawley",138.04,19.03,38.24
"E09000008","Croydon",132.16,21.96,62.56
"E07000096","Dacorum",118.75,12.81,21.26
"E06000005","Darlington",168.96,26.79,9.72
"E07000107","Dartford",147.96,18.84,32.72
"E06000015","Derby",170.37,25.27,33.78
"E07000035","Derbyshire Dales",110.69,11.84,4.49
"E08000017","Doncaster",186.20,30.10,13.38
"E06000059","Dorset",114.77,15.62,6.14
"E07000108","Dover",153.28,22.09,9.71
"E08000027","Dudley",154.38,23.29,17.60
"E09000009","Ealing",133.24,22.55,75.68
"E07000009","East Cambridgeshire",109.69,11.54,13.52
"E07000040","East Devon",109.48,12.71,5.84
"E07000085","East Hampshire",101.90,10.39,9.49
"E07000242","East Hertfordshire",103.26,8.35,15.26
"E07000137","East Lindsey",168.09,29.66,4.40
"E06000011","East Riding of Yorkshire",128.96,15.80,5.37
